Total contribution to GDP,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
US$ in bn (Nominal),0.223968,0.41827,0.06,0.07,0.07,0.04,0.131724,0.352088,0.395753,0.298776,0.378779,0.461443,0.482659,0.350915,0.376315,0.425716,0.466707,0.533338,0.59168,0.835536,1.22228,1.22996,1.46565,1.87991,2.00352,2.66344,3.13075,3.50374,3.92164,4.35121,4.81283,5.30329,5.83352,6.42683,7.07462,7.80412,8.61158,9.50902
Percentage growth,-100,22.9674,9.81342,39.1734,-8.50453,-50.1441,156.827,117.07,32.7369,-15.0412,-3.32501,2.86391,13.3865,11.2978,14.8182,-16.6104,23.3161,14.4134,3.68654,13.6382,2.16669,-3.96629,-3.71628,20.0217,15.1984,36.6627,14.1171,6.72822,10.0464,9.08881,8.75039,8.33884,8.14917,7.76785,7.68058,7.90802,7.94164,8.12933
Local currency in bn,137.964,169.651,186.3,259.279,237.229,118.273,303.755,659.361,875.216,743.573,718.849,739.436,838.421,933.144,1071.42,893.452,1101.77,1260.57,1307.04,1485.3,1517.48,1457.3,1403.14,1684.07,1940.02,2651.29,3025.57,3229.14,3553.56,3876.53,4215.74,4567.29,4939.48,5323.18,5732.03,6185.31,6676.53,7219.29
US$ in bn,0.142762,0.17555,0.192778,0.268295,0.245478,0.122385,0.314318,0.682289,0.90565,0.769429,0.743846,0.765149,0.867576,0.965592,1.10868,0.92452,1.14008,1.30441,1.35249,1.53695,1.57025,1.50797,1.45193,1.74263,2.00748,2.74348,3.13078,3.34143,3.67712,4.01133,4.36234,4.72611,5.11124,5.50828,5.93134,6.4004,6.90869,7.47032
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),4.70612,6.59092,7.18343,8.74562,11.7363,17.3778,21.0858,26.3104,29.7195,28.6237,33.8291,33.4584,40.0237,46.8636,37.6404,47.6946,52.7933,44.6109,47.24,58.07,76.8369,101.9,101.677,119.089,120.081,143.427,171.645,195.349,220.101,245.076,268.28,291.673,313.962,338.004,364.103,391.979,422.08,455.111
Percentage of GDP,6.11899,7.38313,6.94588,7.06431,7.68535,9.89174,10.5815,12.004,11.9399,10.2042,11.2445,9.782,10.5467,10.6142,8.19267,9.68949,9.83572,7.56874,7.22236,7.97851,9.42022,10.3109,8.52443,8.712,7.86212,8.47356,8.87619,8.99898,9.14333,9.27004,9.36623,9.46549,9.53505,9.61949,9.70961,9.79102,9.87205,9.95745
US$ in bn (Nominal),0.202073,0.242413,0.244591,0.23475,0.274742,0.357515,0.42686,0.507038,0.524227,0.493431,0.51275,0.490309,0.56297,0.625271,0.483334,0.626395,0.716583,0.625087,0.649297,0.874351,1.10142,1.31407,1.38987,1.60888,1.40945,1.53264,1.75999,1.96868,2.16636,2.33324,2.44947,2.57468,2.71384,2.85822,3.00086,3.13764,3.28464,3.50354
Percentage growth,-100,25.3487,-4.69978,11.5117,13.1656,33.1626,12.9957,16.4106,4.99825,-10.0268,13.8619,-9.07921,14.2432,5.35818,-22.6612,22.8369,6.29321,-20.3157,-1.33757,14.2566,25.2514,14.437,-13.39,5.70811,-5.47921,11.9586,9.69978,5.81947,5.54632,4.98475,4.37484,4.39783,4.06204,4.23473,4.29727,4.23347,4.25619,4.39774
Local currency in bn,39.9631,50.0932,47.739,53.2345,60.2431,80.2213,90.6466,105.522,110.797,99.6872,113.506,103.2,117.899,124.217,96.0676,118.006,125.433,99.9503,98.6133,112.672,141.124,161.498,139.873,147.857,139.756,156.469,171.646,181.634,191.708,201.265,210.07,219.308,228.217,237.881,248.103,258.607,269.614,281.47
US$ in bn,0.409765,0.513635,0.489496,0.545845,0.617709,0.822557,0.929453,1.08198,1.13606,1.02215,1.16384,1.05817,1.20889,1.27367,0.985037,1.20999,1.28614,1.02485,1.01114,1.1553,1.44702,1.65593,1.4342,1.51607,1.433,1.60436,1.75998,1.86241,1.9657,2.06368,2.15397,2.2487,2.34004,2.43913,2.54395,2.65165,2.76451,2.88608
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),11.9433,12.4669,12.8893,13.4049,13.6555,14.7959,16.2363,17.584,19.5012,19.0982,20.5271,21.7155,22.7978,21.7741,23.1596,24.0595,23.4302,25.5895,26.7543,28.2593,28.8135,28.9458,27.8634,30.2374,29.7021,29.953,31.8266,32.9748,34.4692,35.7864,37.5423,39.2282,40.881,42.5213,44.3314,46.4749,48.5781,51.0624
Percentage of GDP,17.3471,17.0872,16.9761,17.9721,17.8356,18.0236,18.4083,18.707,19.5628,18.5421,19.6107,19.7284,19.4828,17.4363,17.4932,17.1584,15.4495,16.0488,16.0025,15.6519,15.5114,15.365,14.1243,14.7065,14.1315,13.5357,13.6764,13.4731,13.4425,13.3093,13.328,13.312,13.2774,13.215,13.2068,13.2685,13.2986,13.3915
US$ in bn (Nominal),7.82451,7.45558,7.68958,7.7328,7.33459,7.99558,9.6271,11.539,13.4043,12.6276,10.9874,11.492,10.3572,9.15359,10.7112,13.9711,15.5303,18.0173,17.3497,20.7685,20.2523,18.0812,20.0769,23.8878,24.0643,24.5635,26.5865,25.7583,26.7169,27.5245,28.5931,30.1678,32.1202,33.5064,35.0075,36.7742,38.5256,40.5689
Percentage growth,-100,-0.05,0.08,3.22443,0.208458,5.7617,8.956,6.04234,8.50584,-2.14088,6.64535,5.4726,2.6203,-8.58706,5.2377,2.42892,-6.02187,6.64137,1.96806,1.13114,-1.55629,-0.316864,-6.3811,5.34836,-1.19685,-1.94932,4.58115,1.56668,2.46705,1.77152,2.83447,2.42666,2.15556,1.95798,2.19803,2.76494,2.46114,3.03798
Local currency in bn,20.5679,20.5569,20.573,21.2364,21.2806,22.5067,24.5224,26.0042,28.2161,27.612,29.4469,31.0584,31.8722,29.1353,30.6614,31.4061,29.5149,31.4751,32.0945,32.4575,31.9524,31.8512,29.8187,31.4135,31.0375,30.4325,31.8267,32.3253,33.1228,33.7096,34.6651,35.5063,36.2716,36.9818,37.7947,38.8397,39.7956,41.0046
US$ in bn,17.1814,17.1722,17.1857,17.7398,17.7768,18.801,20.4848,21.7226,23.5703,23.0657,24.5985,25.9446,26.6245,24.3382,25.613,26.2351,24.6553,26.2927,26.8102,27.1134,26.6915,26.6069,24.9091,26.2413,25.9272,25.4218,26.5864,27.003,27.6691,28.1593,28.9575,29.6602,30.2995,30.8928,31.5718,32.4447,33.2433,34.2532
Other Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),1.75783,1.59488,1.6332,1.61154,2.10907,1.90897,2.87311,2.96763,3.89309,4.06978,3.68162,4.24975,4.75846,5.03406,5.18041,5.60452,5.89663,6.23765,6.3033,6.7122,7.17304,7.63922,8.24587,8.77905,9.39037,10.063,10.7582,11.5025,12.313,13.1685,14.0862,15.065,16.092,17.1904,18.3601,19.6043,20.9365,22.3661
Percentage of GDP,26.6944,23.2758,22.9128,21.7048,21.7188,19.1833,26.4754,26.6347,32.2917,32.7205,30.6266,33.0797,33.9357,33.8811,32.7046,33.1746,33.0288,32.9303,31.3316,31.4743,31.6872,31.5183,32.0788,32.201,32.4757,32.8138,33.0766,33.343,33.6545,33.937,34.2295,34.5179,34.7653,35.0174,35.2645,35.5039,35.7511,36.0114
US$ in bn (Nominal),1.75783,1.59488,1.6332,1.61154,2.10907,1.90897,2.87311,2.96763,3.89309,4.06978,3.68162,4.24975,4.75846,5.03406,5.18041,5.60452,5.89663,6.23765,6.3033,6.7122,7.17304,7.63922,8.24587,8.77839,9.38875,10.0609,10.755,11.4972,12.3073,13.1624,14.0797,15.0581,16.0845,17.1824,18.3516,19.5952,20.9267,22.3557
Percentage growth,-100,-17.795,3.29369,-8.70308,28.6708,-9.65218,40.4324,-1.61171,26.884,0.31794,-12.5761,11.9704,8.69598,3.00436,0.408401,5.72207,2.99575,3.71428,-0.803719,4.67795,5.16402,3.88493,6.44082,4.99411,5.47964,5.67502,5.41736,5.43448,5.56815,5.47337,5.49035,5.47341,5.34223,5.35246,5.33128,5.30341,5.32137,5.35477
Local currency in bn,3.66628,3.01386,3.11313,2.84219,3.65707,3.30408,4.64,4.56522,5.79253,5.81095,5.08016,5.68827,6.18293,6.36868,6.39469,6.7606,6.96313,7.22176,7.16372,7.49884,7.88608,8.19244,8.7201,9.15559,9.65729,10.2053,10.7582,11.3429,11.9744,12.6298,13.3233,14.0525,14.8032,15.5956,16.427,17.2982,18.2187,19.1943
US$ in bn,3.6652,3.01298,3.11221,2.84135,3.65599,3.30311,4.63864,4.56388,5.79083,5.80924,5.07867,5.6866,6.18111,6.36681,6.39281,6.75862,6.96109,7.21964,7.16162,7.49663,7.88376,8.19004,8.71754,9.15291,9.65445,10.2023,10.755,11.3395,11.9709,12.6261,13.3194,14.0484,14.7989,15.591,16.4222,17.2931,18.2134,19.1886
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),38.3567,49.8798,61.6899,72.7088,88.9079,88.713,119.168,140.351,146.686,173.063,199.322,218.585,239.289,265.692,266.659,308.35,364.203,472.613,493.516,558.942,695.497,922.173,1059.61,1286.34,1380.45,1529.08,1749.44,1958.92,2185.73,2426.32,2670.78,2929.74,3214.21,3528.92,3873.99,4249.43,4660.95,5128.98
Percentage of GDP,4.33315,4.95019,5.513,5.45632,5.62853,5.07837,5.82431,5.73902,5.27878,5.4377,5.67956,5.6758,5.80274,5.8557,5.55657,5.86787,5.99085,6.74645,6.00665,6.04929,6.53799,6.98631,7.12729,7.03824,6.88626,6.79921,6.88649,6.93433,6.96813,6.96358,6.96367,6.95659,6.95372,6.9613,6.97271,6.98388,6.99929,7.0268
US$ in bn (Nominal),2.12532,2.42139,2.83499,3.04739,3.53563,3.14767,3.88888,4.42401,4.05552,4.19852,4.24777,4.27624,4.4399,4.29821,4.47258,5.3393,6.23613,7.93141,8.18816,9.20429,9.84477,11.2831,12.4362,14.8964,14.7822,15.0452,17.1886,18.8331,20.5205,22.409,24.2824,26.4708,28.8774,31.2021,33.7086,36.3873,39.2758,42.4477
Percentage growth,-100,19.9064,16.3349,4.36988,11.2384,-8.63973,18.975,3.42551,-3.56144,4.05539,7.1116,3.59143,8.23972,2.89782,-2.15551,10.593,9.73524,22.701,-5.78555,6.28587,13.4696,7.24256,4.65065,2.3289,1.5946,2.38493,5.48415,5.19551,5.51192,5.73106,5.80103,5.40266,5.47651,5.55488,5.54269,5.4589,5.45182,5.79586
Local currency in bn,371.43,445.368,518.119,540.76,601.533,549.562,653.841,676.239,652.155,678.602,726.862,752.967,815.009,838.627,820.55,907.47,995.815,1221.87,1151.18,1223.54,1388.35,1488.9,1558.15,1594.43,1619.86,1658.49,1749.45,1840.34,1941.78,2053.06,2172.16,2289.51,2414.9,2549.04,2690.33,2837.19,2991.87,3165.28
US$ in bn,3.64937,4.37583,5.09062,5.31307,5.91017,5.39955,6.42412,6.64417,6.40754,6.6674,7.14155,7.39804,8.00762,8.23966,8.06206,8.91607,9.78407,12.0051,11.3106,12.0216,13.6408,14.6288,15.3091,15.6656,15.9154,16.295,17.1886,18.0817,19.0783,20.1717,21.3419,22.4949,23.7268,25.0448,26.433,27.876,29.3957,31.0994
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.02,0.03,0.117892,0.157247,0.239921,0.204856,0.185827,0.181058,0.214758,0.206283,0.23458,0.313214,0.421275,0.392126,0.640221,0.575905,0.713287,0.669438,0.43651,0.44787,0.452001,0.881338,0.848024,0.693729,0.768194,0.793366,0.85037,0.951782,1.02895,1.15682,1.29516,1.46053,1.64368,1.80151,1.97446,2.15923,2.36042,2.58124
Percentage of GDP,0.578809,1.12903,3.83263,4.3607,5.6813,4.20909,3.36028,2.92279,3.16057,2.91377,3.00609,3.54828,4.32703,3.77178,5.39279,4.34924,5.29959,4.43489,2.58341,2.38201,2.09247,3.9467,3.21278,2.26573,2.39067,2.29224,2.13717,1.92266,1.92946,1.96567,1.99614,2.04174,2.08415,2.09058,2.07895,2.06307,2.04658,2.02947
US$ in bn (Nominal),0.02,0.04,0.123447,0.165226,0.248711,0.209426,0.183743,0.141469,0.162809,0.143454,0.113127,0.121837,0.15142,0.115715,0.164361,0.161615,0.221343,0.215812,0.142803,0.151035,0.167402,0.319889,0.311855,0.292593,0.368677,0.35347,0.340125,0.373572,0.395554,0.43471,0.475289,0.522903,0.573842,0.613005,0.65451,0.696943,0.741852,0.789115
Percentage growth,-100,92.1665,229.619,24.5577,48.369,-12.5248,-15.3475,-16.019,15.2723,-13.6568,7.99689,20.2269,18.9538,-12.8725,45.8516,-15.8127,22.5462,-13.0312,-40.4122,-1.20137,-6.34605,100.189,-12.4343,-21.5384,13.6118,0.727859,2.36733,6.69054,2.86246,6.97113,6.6272,7.39839,7.18056,5.31218,4.38126,4.15064,4.11201,4.14768
Local currency in bn,0.08,0.144164,0.475192,0.591889,0.878179,0.768189,0.650292,0.546122,0.629527,0.543554,0.587021,0.705757,0.839525,0.731457,1.06684,0.898145,1.10064,0.957216,0.570383,0.563531,0.527769,1.05653,0.925162,0.725897,0.824704,0.830707,0.850373,0.907267,0.933237,0.998294,1.06445,1.14321,1.22529,1.29038,1.34692,1.40283,1.46051,1.52109
US$ in bn,0.03,0.06,0.190063,0.236739,0.351247,0.307254,0.260098,0.218433,0.251793,0.217406,0.234792,0.282283,0.335786,0.292562,0.426706,0.359232,0.440225,0.382859,0.228137,0.225396,0.211093,0.422584,0.370038,0.290338,0.329858,0.332259,0.340125,0.362881,0.373268,0.399289,0.425751,0.45725,0.490083,0.516117,0.538729,0.56109,0.584162,0.608391
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),73.008,79.5562,87.8198,101.367,115.043,127.864,120.378,151.599,199.049,284.743,329.616,397.843,408.167,444.358,432.383,448.905,547.707,667.38,780.403,967.165,722.49,806.104,829.596,1013.86,1178.86,1303.47,1411.08,1518.72,1668.79,1835.08,2017.19,2217.89,2435.6,2673.33,2928.85,3208.24,3510.25,3827.35
Percentage of GDP,8.24524,7.75893,7.35799,7.33089,7.68254,7.82701,6.4178,7.17902,8.27169,10.5903,11.163,12.2632,11.399,11.4266,10.2989,9.87017,10.6965,11.7543,12.4443,14.0317,9.35759,10.0435,9.21418,10.4432,11.1558,11.2872,11.2034,11.0508,11.0474,11.0671,11.1539,11.255,11.3432,11.43,11.5051,11.599,11.7099,11.8053
US$ in bn (Nominal),3.46094,3.65999,3.61244,3.68893,4.50926,4.71478,4.5568,5.89552,7.5927,9.66189,8.06042,10.1779,9.23582,8.71415,8.37893,8.28186,9.77352,12.1153,15.2083,20.9578,16.245,16.9217,18.3902,23.404,27.9162,30.7117,31.7827,33.997,37.8652,42.0574,46.6575,51.7774,57.3305,63.3333,69.6647,76.5021,83.9146,91.7179
Percentage growth,-100,0.05,-2.29085,-1.07941,5.1231,4.11593,-14.4452,17.176,21.8245,34.763,4.77854,13.2386,-2.93913,3.12096,-6.57588,0.588379,15.6683,15.1335,11.3901,20.2476,-30.5318,8.58566,-1.29429,17.4687,14.1037,8.45292,5.06474,5.01936,6.26087,5.9391,5.8996,5.9249,5.79552,5.74243,5.54744,5.52928,5.40762,5.0422
Local currency in bn,357.839,358.014,349.812,346.036,363.764,378.736,324.027,379.682,462.546,623.341,653.128,739.592,717.855,740.258,691.58,695.649,804.646,926.417,1031.94,1240.88,862.016,936.026,923.911,1085.31,1238.37,1343.05,1411.08,1481.9,1574.68,1668.2,1766.62,1871.29,1979.74,2093.43,2209.56,2331.73,2457.82,2581.75
US$ in bn,8.05971,8.06365,7.87893,7.79388,8.19317,8.53039,7.29817,8.5517,10.4181,14.0397,14.7106,16.6581,16.1685,16.6731,15.5767,15.6683,18.1233,20.866,23.2426,27.9487,19.4155,21.0824,20.8095,24.4447,27.8923,30.25,31.7821,33.3773,35.467,37.5735,39.7902,42.1477,44.5904,47.1509,49.7666,52.5183,55.3583,58.1496
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),6.57714,7.83326,10.1255,10.5615,12.2673,13.9648,14.6793,16.1198,16.7191,18.4542,17.9051,17.1734,16.983,14.4867,15.0009,13.5421,17.8613,18.9306,19.4861,24.6156,24.0646,26.8439,32.7615,35.7848,37.8946,37.4452,38.5351,41.3212,45.4875,48.5337,50.9058,53.0657,55.5481,58.3812,61.4901,64.66,67.3061,70.1394
Percentage of GDP,12.3259,12.7943,14.3609,13.4443,14.4385,14.2514,13.0265,12.9399,12.2999,12.4083,12.4826,11.7425,10.2792,9.05564,9.11188,8.01328,9.25451,8.9264,8.29776,9.07489,8.84794,9.59197,10.163,10.3811,10.5691,10.0439,10.0866,10.2457,10.3269,10.2231,10.2006,10.236,10.291,10.3241,10.344,10.3655,10.3003,10.275
US$ in bn (Nominal),3.26826,4.01652,5.58638,6.11355,7.53076,8.64272,9.61045,11.3731,11.8572,12.4288,10.6986,10.1321,9.85119,8.08532,8.37766,7.77307,10.5669,11.3728,12.2636,16.333,17.0093,18.4555,24.0273,28.4469,30.3236,29.9251,30.4115,31.2716,35.5583,38.6462,40.7104,42.4965,44.5112,47.0324,49.9718,53.0146,55.6877,58.614
Percentage growth,-100,14.3406,23.4682,-0.124329,15.0164,10.1029,1.39687,6.27122,2.20913,9.24918,-1.68443,-0.127014,-4.648,-12.803,4.83977,-8.15732,26.5892,3.66376,1.21011,19.3292,-0.806007,7.82422,22.0026,8.35088,4.36474,-1.3246,3.23759,4.66203,4.66075,2.5006,3.17281,3.67627,3.87885,3.65511,3.52027,3.33736,2.30776,2.36017
Local currency in bn,9.57775,10.9513,13.5213,13.5045,15.5324,17.1016,17.3405,18.428,18.8351,20.5772,20.2306,20.2049,19.2657,16.7992,17.6122,16.1755,20.4764,21.2267,21.4835,25.6361,25.4295,27.4191,33.4521,36.2456,37.8277,37.3266,38.5351,40.3316,42.2113,43.2669,44.6397,46.2807,48.0759,49.8331,51.5874,53.309,54.5393,55.8265
US$ in bn,7.55868,8.64264,10.6709,10.6576,12.258,13.4965,13.685,14.5432,14.8645,16.2393,15.9658,15.9455,15.2044,13.2577,13.8994,12.7656,16.1598,16.7519,16.9546,20.2318,20.0687,21.6389,26.4001,28.6047,29.8532,29.4578,30.4115,31.8293,33.3128,34.1458,35.2292,36.5243,37.9411,39.3278,40.7123,42.071,43.0419,44.0578
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.01,0.02,0.03,0.03,0.03,0.07,0.130157,0.09,0.1,0.07,0.08,0.08,0.06,0.110132,0.07,0.06,0.09,0.159529,0.41907,0.470108,0.456518,0.547718,0.727313,0.823206,0.874575,0.94906,0.947708,1.02293,1.12231,1.22285,1.33076,1.44906,1.56812,1.70751,1.85083,2.00959,2.18013,2.37634
Percentage of GDP,4.03304,5.55704,4.82522,5.64019,4.06313,7.3819,12.3665,7.12203,6.73559,4.6494,4.80111,4.49229,3.52287,6.23625,3.92059,2.70982,3.25704,4.93303,11.6882,11.9042,9.6878,11.3752,13.2276,12.3977,11.7774,11.8108,10.7389,10.624,10.7252,10.7527,10.767,10.7877,10.7418,10.7444,10.6539,10.5592,10.4606,10.412
US$ in bn (Nominal),0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.06,0.06,0.06,0.07,0.09,0.107732,0.118906,0.12997,0.129545,0.135535,0.145075,0.154217,0.163732,0.173939,0.18364,0.194718,0.205519,0.217289,0.229539,0.243607
Percentage growth,-100,47.2375,-7.33281,19.8715,-19.7753,84.7568,81.0599,-36.6539,-3.90461,-32.1645,6.56073,-7.88366,-32.7259,62.9208,-38.8648,-26.4004,29.9261,70.9185,146.415,8.33814,-12.8228,11.8549,24.4242,3.75471,-0.443848,2.99123,-5.44569,2.88651,4.99015,4.26693,4.13841,4.20017,3.55686,4.19997,3.33002,3.50628,3.41859,3.90845
Local currency in bn,0.149288,0.219807,0.203689,0.244165,0.195881,0.361904,0.655262,0.415083,0.398875,0.270579,0.288331,0.2656,0.17868,0.291107,0.177969,0.130985,0.170183,0.290874,0.716757,0.776521,0.676949,0.757201,0.942141,0.977516,0.973177,1.00229,0.947706,0.975061,1.02372,1.0674,1.11157,1.15826,1.19946,1.24984,1.29146,1.33674,1.38243,1.43647
US$ in bn,0.02,0.03,0.03,0.03,0.03,0.05,0.09,0.06,0.05,0.04,0.04,0.04,0.02,0.04,0.02,0.02,0.02,0.04,0.1,0.106145,0.09,0.103504,0.128784,0.13362,0.133027,0.137006,0.129545,0.133284,0.139935,0.145906,0.151944,0.158326,0.163958,0.170844,0.176533,0.182723,0.188969,0.196355
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),9.36165,11.4369,18.871,22.5625,29.4168,33.339,37.3913,51.6862,52.0216,65.3988,72.8131,83.2586,88.8829,110.88,158.347,175.605,210.935,228.413,272.715,323.581,375.325,390.19,457.49,553.274,684.801,850.885,1067.42,1158,1283.88,1413.53,1552.77,1710.96,1884.65,2085.12,2305.75,2550.95,2825.66,3145.22
Percentage of GDP,4.2173,4.54043,5.8645,6.05957,6.91699,6.6736,6.45697,7.74009,6.77251,7.34593,7.15267,7.52814,7.06746,7.87837,9.67867,9.63558,10.0885,9.31241,9.2802,9.0419,8.50946,8.06962,8.16348,8.45467,9.03604,9.80975,11.0599,10.6023,10.4627,10.3129,10.1851,10.1255,10.1006,10.1233,10.1503,10.192,10.2767,10.4541
US$ in bn (Nominal),0.29433,0.317277,0.471034,0.545363,0.671162,0.689931,0.756678,1.00848,0.941203,1.10856,1.12976,1.17871,1.15425,1.2405,1.65527,1.81935,2.08446,2.27281,2.62443,2.92508,3.46452,3.39458,4.04629,5.00406,5.36666,6.59248,8.18619,8.79495,9.61494,10.4771,11.4337,12.5482,13.783,15.206,16.7674,18.498,20.4321,22.3945
Percentage growth,-100,10.0442,36.8044,7.94717,19.4573,3.07928,2.40229,26.1627,-9.09127,14.9981,1.97542,10.0493,-0.438538,9.67223,27.681,5.53328,10.3311,-1.88844,7.16839,4.07497,-0.221344,-1.83989,9.27505,12.0824,13.6601,16.425,20.7527,2.4559,5.09722,4.97547,5.18105,5.8069,6.17004,6.63831,6.58396,6.63562,6.76516,7.28603
Local currency in bn,103.356,113.738,155.598,167.964,200.645,206.823,211.792,267.202,242.91,279.342,284.86,313.487,312.112,342.3,437.052,461.236,508.887,499.277,535.067,556.87,555.638,545.415,596.002,668.014,759.265,883.975,1067.42,1093.64,1149.38,1206.57,1269.08,1342.78,1425.63,1520.27,1620.36,1727.88,1844.77,1979.19
US$ in bn,0.792651,0.872266,1.1933,1.28813,1.53877,1.58615,1.62426,2.0492,1.86291,2.14231,2.18463,2.40417,2.39362,2.62514,3.3518,3.53727,3.90271,3.82901,4.10348,4.2707,4.26125,4.18284,4.57081,5.12307,5.82289,6.7793,8.18619,8.38723,8.81475,9.25332,9.73274,10.2979,10.9333,11.6591,12.4267,13.2513,14.1478,15.1786
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),209.043,235.133,243.413,268.12,282.5,292.254,354.529,392.874,474.482,488.616,507.746,533.962,523.288,495.438,572.3,512.256,455.801,463.799,515.643,562.063,547.12,530.915,679.287,739.884,776.699,816.348,885.798,909.824,945.404,996.085,1035.95,1088.23,1144.38,1199.75,1258.19,1320.97,1386.39,1453.1
Percentage of GDP,5.78214,5.83013,5.43298,5.33704,5.03146,4.70972,5.22562,5.31152,5.90402,5.60517,5.41242,5.43994,5.05531,4.87721,5.35817,4.67137,3.91258,3.83551,4.0792,4.19229,4.16031,4.09604,4.81109,5.1696,5.28837,5.36323,5.53834,5.41126,5.35808,5.38149,5.34341,5.37416,5.4184,5.45092,5.48968,5.53939,5.59056,5.64398
US$ in bn (Nominal),7.31215,8.9042,9.05122,9.99899,11.2264,11.0759,13.4005,14.8337,17.2804,17.0232,15.1767,16.5469,16.7537,14.6522,16.5505,14.8828,13.6362,14.4132,15.8494,17.1137,17.3496,16.0588,21.4641,25.1067,26.2259,27.4213,29.1727,29.1105,30.8697,33.8772,36.1245,38.8153,41.7733,44.5419,47.4883,50.8183,54.4028,58.5378
Percentage growth,-100,9.6536,-1.54826,6.42828,2.1228,-0.05,19.25,8.30235,17.9791,0.761986,0.5867,7.21964,-1.05863,-4.72315,15.9029,-9.22464,-10.7905,3.32888,12.3458,9.46102,-0.01,-3.19395,29.9803,11.6287,4.40699,3.67713,6.82316,1.00765,2.11807,3.49848,2.16312,3.18856,3.30048,2.9854,3.01575,3.13303,3.09769,2.95863
Local currency in bn,249.83,273.947,269.706,287.043,293.137,292.997,349.399,378.407,446.442,449.844,452.483,485.151,480.015,457.343,530.074,481.176,429.255,443.544,498.303,545.448,545.382,527.963,686.248,766.05,799.81,829.22,885.799,894.725,913.675,945.64,966.096,996.9,1029.8,1060.55,1092.53,1126.76,1161.66,1196.03
US$ in bn,8.22793,9.02223,8.88254,9.45353,9.65421,9.64962,11.5072,12.4625,14.7032,14.8152,14.9022,15.978,15.8089,15.0622,17.4575,15.8471,14.1371,14.6078,16.4112,17.9639,17.9617,17.388,22.601,25.2292,26.3411,27.3097,29.173,29.467,30.0911,31.1439,31.8176,32.8321,33.9157,34.9282,35.9816,37.1089,38.2584,39.3903
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),185.104,225.876,271.9,282.992,329.868,370.676,401.159,490.312,612.767,669.967,713.77,732.781,845.732,891.996,984.006,1020.48,1172,1175.74,1369.22,1553.8,1590.43,1482.02,1479.81,1739.93,2115.05,2414.18,2345.14,2433.47,2673.26,2921.68,3193.69,3490.08,3812.52,4162.69,4553.18,4974.2,5399.36,5876.18
Percentage of GDP,11.8672,12.1636,12.4523,11.2897,11.6524,11.7109,11.0532,11.7125,13.2891,14.1564,15.428,15.8026,17.1801,17.376,18.053,17.2455,18.0599,16.5763,17.4536,18.226,17.5149,16.3912,14.6446,16.5077,18.5933,20.2895,19.3307,19.2062,19.7123,20.213,20.8295,21.4696,22.1262,22.7984,23.5449,24.3061,25.0154,25.8322
US$ in bn (Nominal),7.31811,8.78826,10.6272,11.0905,12.987,14.6399,15.9508,19.6793,24.1781,21.3553,17.253,19.365,21.0579,20.0756,22.9051,24.599,29.1379,29.2326,36.1444,45.0139,47.7417,43.2256,46.6966,57.0623,68.045,78.5715,72.2019,72.2445,77.0516,82.3368,88.332,95.3537,102.909,111.025,120.436,131.918,144.552,159.037
Percentage growth,-100,14.9848,13.7944,-1.59058,11.5416,8.87053,2.85538,15.7538,20.1633,5.03841,-2.46803,6.98855,13.874,3.29238,9.44438,2.34422,11.3828,-3.95963,10.6027,9.73197,-1.56093,-8.59431,-3.67418,12.847,19.9134,12.2695,-4.31424,3.22392,6.43694,6.31356,6.44089,6.53704,6.52298,6.46981,6.66058,6.53027,5.84869,6.12496
Local currency in bn,443.798,510.301,580.694,571.458,637.413,693.955,713.77,826.216,992.808,1042.83,1017.09,1088.17,1239.15,1279.94,1400.83,1433.66,1596.85,1533.63,1696.23,1861.31,1832.25,1674.78,1613.25,1820.5,2183.03,2450.87,2345.14,2420.74,2576.56,2739.24,2915.67,3106.27,3308.89,3522.97,3757.62,4003,4237.12,4496.65
