iucn_sid,years,cats,stati,pop_trend_desc,calc_trend,pop_trend
22680252,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2013, 2016","EN, EN, EN, EN, EN, EN, EN, EN, EN","0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,0,-1
22680271,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680277,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680280,"1996, 2000, 2004, 2006, 2008, 2012, 2013, 2016","VU, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",stable,0,0
22680287,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680301,"1994, 2000, 2004, 2008, 2009, 2012, 2013, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",decreasing,-0,-1
22680306,"1994, 2000, 2004, 2006, 2008, 2012, 2016","LC, VU, VU, VU, VU, VU, VU","1, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,-0.01932,-1
22680310,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680313,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",decreasing,-0,-1
22680339,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2016","VU, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,0,-1
22680358,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, VU, VU","1, 1, 1, 1, 1, 1, 0.4667, 0.4667",decreasing,-0.02192,-1
22680364,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680367,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22680373,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2016","VU, VU, NT, NT, NT, NT, NT, NT","0.4667, 0.4667, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,0.01248,-1
22680387,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680391,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",stable,-0,0
22680398,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680402,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680405,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, NT, NT","1, 1, 1, 1, 1, 1, 0.7333, 0.7333",unknown,-0.01096,NA
22680409,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680412,"1994, 1996, 2000, 2004, 2008, 2009, 2012, 2016","VU, VU, LC, LC, LC, LC, LC, LC","0.4667, 0.4667, 1, 1, 1, 1, 1, 1",decreasing,0.02491,-1
22680415,"1994, 1996, 2000, 2004, 2005, 2006, 2008, 2010, 2012, 2013, 2016","VU, VU, LC, LC, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 1, 1, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,-0.00832,-1
22680418,"1994, 2000, 2004, 2008, 2012, 2016","EX, EX, EX, EX, EX, EX","-0.3333, -0.3333, -0.3333, -0.3333, -0.3333, -0.3333",NA,0,NA
22680423,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22680427,"1994, 2000, 2004, 2008, 2009, 2011, 2012, 2016","LC, LC, LC, LC, LC, LC, VU, VU","1, 1, 1, 1, 1, 1, 0.4667, 0.4667",decreasing,-0.02188,-1
22680441,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680455,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680459,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22680462,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22680465,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",decreasing,-0,-1
22680472,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22680485,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680488,"1994, 1996, 2000, 2002, 2004, 2006, 2007, 2008, 2009, 2012, 2016","VU, VU, VU, EN, EN, EN, EN, EN, EN, EN, EN","0.4667, 0.4667, 0.4667, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,-0.01509,-1
22680492,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22680496,"1994, 2000, 2004, 2008, 2012, 2016","EX, EX, EX, EX, EX, EX","-0.3333, -0.3333, -0.3333, -0.3333, -0.3333, -0.3333",NA,0,NA
22680683,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",decreasing,-0,-1
22681885,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22683027,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22683033,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22683037,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22683042,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22683045,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22683093,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22683099,"1994, 2000, 2004, 2008, 2009, 2014, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22683106,"1994, 2000, 2004, 2008, 2009, 2014, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22683112,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22683117,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22683213,"1994, 2000, 2004, 2008, 2012, 2016","NT, NT, NT, NT, NT, NT","0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,-0,-1
22683227,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22683230,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22683249,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22683265,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22683368,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22683422,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22683442,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22683616,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22683634,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22683645,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22683649,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22683652,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22683710,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22683740,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22683744,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22683982,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22685200,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22685203,"1994, 1996, 2000, 2004, 2006, 2008, 2009, 2010, 2011, 2012, 2015, 2016","EN, EN, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR","0.2, 0.2, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667",decreasing,-0.01143,-1
22686806,"1994, 2000, 2004, 2008, 2009, 2012, 2014, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",unknown,-0,NA
22686815,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",stable,-0,0
22686831,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22686839,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22688175,"1994, 2000, 2004, 2008, 2012, 2014, 2016","LC, LC, NT, NT, NT, NT, NT","1, 1, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,-0.01373,-1
22689032,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22689535,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",stable,-0,0
22689714,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22689906,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22689972,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22689985,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22692073,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2016","VU, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,0,-1
22692109,"1994, 2000, 2004, 2006, 2008, 2012, 2013, 2016","VU, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",stable,0,0
22692146,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",increasing,-0,1
22692151,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2012, 2016","VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",increasing,0,1
22692156,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2016","EN, EN, EN, EN, EN, EN, EN, EN","0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",increasing,0,1
22692167,"1994, 1996, 2000, 2004, 2008, 2009, 2012, 2013, 2016","VU, VU, EN, EN, EN, EN, EN, EN, EN","0.4667, 0.4667, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,-0.01194,-1
22692353,"1994, 2000, 2004, 2006, 2008, 2012, 2016","LC, NT, NT, NT, NT, NT, NT","1, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,-0.00966,-1
22692384,"1994, 2000, 2004, 2005, 2006, 2008, 2012, 2016","NT, VU, VU, VU, VU, VU, VU, VU","0.7333, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,-0.00957,-1
22692425,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22692476,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2015, 2016","EN, EN, EN, EN, EN, EN, EN, EN, EN","0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,0,-1
22692521,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22692535,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22692667,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22692680,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22692687,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2016","VU, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,0,-1
22692705,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22692708,"1994, 2000, 2004, 2008, 2012, 2016","EX, EX, EX, EX, EX, EX","-0.3333, -0.3333, -0.3333, -0.3333, -0.3333, -0.3333",NA,0,NA
22692723,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22692778,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22692907,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22692913,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22692920,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2012, 2016","VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",stable,0,0
22693097,"2000, 2004, 2014, 2016","LC, LC, LC, LC","1, 1, 1, 1",decreasing,0,-1
22693102,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693133,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693150,"1994, 2000, 2004, 2006, 2008, 2012, 2016","LC, LC, LC, NT, NT, NT, NT","1, 1, 1, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,-0.01579,-1
22693154,"1994, 2000, 2004, 2008, 2009, 2012, 2016","NT, LC, LC, LC, LC, LC, LC","0.7333, 1, 1, 1, 1, 1, 1",decreasing,0.00973,-1
22693158,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, NT, NT","1, 1, 1, 1, 1, 1, 0.7333, 0.7333",decreasing,-0.01096,-1
22693162,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693178,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693182,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2016","VU, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,0,-1
22693185,"1994, 1996, 2000, 2004, 2008, 2009, 2010, 2012, 2015, 2016","CR, CR, CR, CR, CR, CR, CR, CR, CR, CR","-0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667",decreasing,-0,-1
22693190,"1994, 2000, 2004, 2008, 2012, 2015, 2016","LC, LC, LC, NT, NT, NT, NT","1, 1, 1, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,-0.01541,-1
22693195,"1994, 2000, 2004, 2006, 2008, 2009, 2012, 2016","LC, NT, NT, NT, LC, LC, LC, LC","1, 0.7333, 0.7333, 0.7333, 1, 1, 1, 1",decreasing,0.00671,-1
22693199,"1994, 2000, 2004, 2008, 2009, 2010, 2012, 2015, 2016","NT, NT, LC, LC, LC, VU, VU, EN, EN","0.7333, 0.7333, 1, 1, 1, 0.4667, 0.4667, 0.2, 0.2",decreasing,-0.02635,-1
22693207,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",stable,-0,0
22693211,"1994, 2000, 2004, 2008, 2009, 2012, 2013, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",unknown,-0,NA
22693216,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693220,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",stable,-0,0
22693225,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2016","EN, EN, EN, EN, EN, EN, EN, EN","0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,0,-1
22693231,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693235,"1994, 2000, 2004, 2008, 2009, 2012, 2014, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",decreasing,-0,-1
22693251,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693264,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693277,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693289,"1994, 2000, 2004, 2008, 2009, 2012, 2014, 2016","LC, LC, LC, LC, LC, LC, NT, NT","1, 1, 1, 1, 1, 1, 0.7333, 0.7333",decreasing,-0.01086,-1
22693305,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693319,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693336,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693341,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693344,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693348,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693351,"1994, 2000, 2004, 2006, 2008, 2012, 2016","NT, NT, NT, NT, NT, NT, NT","0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,0,-1
22693356,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693359,"1994, 2000, 2004, 2008, 2009, 2010, 2012, 2015, 2016","LC, LC, LC, LC, LC, VU, VU, EN, EN","1, 1, 1, 1, 1, 0.4667, 0.4667, 0.2, 0.2",decreasing,-0.04014,-1
22693363,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, NT, NT","1, 1, 1, 1, 1, 1, 0.7333, 0.7333",decreasing,-0.01096,-1
22693369,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693373,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, NT, NT","1, 1, 1, 1, 1, 0.7333, 0.7333",decreasing,-0.01259,-1
22693376,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693379,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22693383,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, NT, NT","1, 1, 1, 1, 1, 1, 0.7333, 0.7333",decreasing,-0.01096,-1
22693388,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693392,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22693396,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",decreasing,-0,-1
22693399,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693404,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693408,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22693414,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",stable,-0,0
22693420,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693424,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693427,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693431,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, NT, NT","1, 1, 1, 1, 1, 1, 0.7333, 0.7333",decreasing,-0.01096,-1
22693452,"1994, 1996, 2000, 2004, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016","VU, VU, VU, EN, CR, CR, CR, CR, CR, CR, CR, CR","0.4667, 0.4667, 0.4667, 0.2, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667",decreasing,-0.03082,-1
22693464,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22693468,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",decreasing,-0,-1
